Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
472,583,1,1437
387,18,9,115
712,192,8,662
109,417,1,409
363,509,1,1151
423,173,1,601
536,130,2,564
7,478,1,109
338,283,1,875
409,9,1,148
465,475,5,1399
629,811,1,1822
844,481,1,1379
385,315,35,912
606,60,6,382
155,429,1,549
994,893,1,2499
446,705,1,1325
84,555,3,504
121,799,1,446
415,895,5,1250
971,950,1,2897
376,330,2,1150
427,713,1,1307
964,188,4,642
721,428,1,1327
14,701,1,176
590,209,1,713
181,974,1,599
523,138,1,552
385,29,1,185
567,378,189,584
922,364,2,1294
434,357,7,1115
270,555,15,987
155,684,1,565
801,478,1,1370
986,177,1,576
807,764,1,2149
889,770,7,2387
303,962,1,941
550,316,2,989
662,139,1,451
876,843,3,2335
465,750,15,1387
332,201,1,660
131,898,1,476
579,404,1,1223
614,12,2,171
760,883,1,2436
918,915,3,2753
567,71,1,284
392,552,8,1282
247,550,1,814
667,487,1,1384
671,970,1,2053
448,572,4,1472
285,110,5,433
63,513,9,263
304,527,1,1068
262,635,1,849
727,392,1,1382
885,657,3,1934
795,498,3,1521
21,907,1,196
380,290,10,961
173,298,1,570
360,916,4,1391
201,958,1,696
465,868,31,1390
445,487,1,1403
837,892,1,2519
59,473,1,264
353,121,1,466
985,656,1,1932
999,599,1,1771
291,77,1,332
342,527,1,1193
734,489,1,1512
24,106,2,255
395,755,5,1164
747,567,9,1686
53,107,1,238
482,253,1,817
64,298,2,363
120,860,20,444
784,308,28,876
752,842,2,2202
781,104,1,450
314,117,1,519
112,312,8,468
715,754,13,2089
389,57,1,286
280,474,2,1168
545,303,1,969
931,291,1,925
57,677,1,279
857,461,1,1336
135,690,15,467
714,551,1,1669
987,185,1,645
410,770,10,1232
493,161,1,593
964,625,1,1883
617,277,1,845
741,728,13,2370
589,808,1,1764
481,329,1,1019
216,760,8,842
802,112,2,516
414,732,6,1370
402,822,6,1299
760,610,10,1801
283,895,1,875
299,996,1,961
445,285,5,928
532,206,2,645
406,24,2,254
367,369,1,1054
1000,335,5,1016
646,741,19,1971
62,586,2,287
900,894,6,2521
914,115,1,437
653,67,1,267
226,418,2,722
798,627,57,1638
239,909,1,727
236,521,1,845
803,534,1,1626
868,599,1,1784
170,400,10,607
805,575,115,1299
423,523,1,1312
944,775,1,2314
857,941,1,2425
515,918,1,1597
526,414,2,1414
811,791,1,2292
880,815,5,2294
857,105,1,485
584,6,2,123
731,822,1,2159
914,318,2,1018
343,717,1,1100
203,210,7,625
667,372,1,1240
961,471,1,1377
946,736,2,2280
993,241,1,759
510,849,3,1694
181,24,1,250
118,58,2,276
789,280,1,1221
848,668,4,1918
446,56,2,318
124,29,1,220
61,206,1,273
851,975,1,2468
523,545,1,1542
43,77,1,216
106,61,1,281
448,67,1,261
532,745,1,1740
802,524,2,1604
986,311,1,920
725,518,1,1592
686,194,2,642
576,826,2,1963
474,423,3,1293
845,919,1,2462
479,968,1,1452
300,891,3,1220
525,150,75,291
217,47,1,239
46,611,1,248
475,151,1,511
672,922,2,2281
569,203,1,675
18,370,2,168
78,3,3,79
32,154,2,204
521,717,1,1629
348,448,4,1144
894,173,1,592
222,738,6,758
443,52,1,301
57,742,1,285
943,581,1,1754
891,511,1,1456
979,288,1,1093
122,453,1,481
439,793,1,1307
726,7,1,110
347,744,1,1133
729,424,1,1431
98,760,2,424
930,970,10,2853
829,277,1,849
417,722,1,1269
449,639,1,1328
812,891,1,2480
42,220,2,295
633,984,3,1830
801,875,1,2355
495,131,1,477
515,968,1,1482
936,953,1,3063
760,661,1,1965
311,106,1,420
756,391,1,1226
881,854,1,2504
503,810,1,1489
823,331,1,969
438,592,2,1453
404,886,2,1267
582,567,3,1713
129,623,1,491
787,113,1,422
959,939,1,2778
339,805,1,1052
421,853,1,1263
124,356,4,468
157,883,1,485
17,820,1,122
340,124,4,488
210,572,2,1002
977,712,1,2153
382,152,2,620
394,819,1,1190
95,150,5,374
57,28,1,232
716,537,179,1134
650,854,2,2004
649,960,1,1879
144,339,3,589
116,565,1,507
192,239,1,751
920,348,4,1165
473,288,1,1043
519,164,1,631
764,81,1,350
736,740,4,2254
792,469,1,1421
243,538,1,797
287,337,1,880
39,695,1,227
364,754,26,1068
231,366,3,831
960,231,3,808
677,103,1,388
570,145,5,506
19,113,1,154
383,291,1,998
460,208,4,747
930,331,1,971
371,693,7,1125
411,106,1,413
433,554,1,1293
574,27,1,191
91,213,1,396
716,129,1,485
259,79,1,318
235,842,1,742
796,546,2,1860
424,825,1,1338
1000,993,1,2811
969,19,19,78
105,703,1,461
309,917,1,955
262,238,2,817
247,633,1,822
283,9,1,132
90,67,1,293
562,16,2,174
93,5,1,116
580,808,4,1806
133,190,19,415
239,719,1,751
31,386,1,186
264,455,1,1127
210,264,6,816
799,530,1,1633
634,904,2,1820
233,942,1,701
172,494,2,620
