Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
715,754,13,98
389,57,1,120
280,474,2,123
545,303,1,110
931,291,1,90
57,677,1,106
857,461,1,101
135,690,15,90
714,551,1,155
987,185,1,97
410,770,10,107
493,161,1,97
964,625,1,125
617,277,1,96
741,728,13,79
589,808,1,132
481,329,1,107
216,760,8,106
802,112,2,99
414,732,6,116
402,822,6,97
760,610,10,90
283,895,1,113
299,996,1,144
445,285,5,137
532,206,2,126
406,24,2,85
367,369,1,98
1000,335,5,87
646,741,19,104
62,586,2,104
900,894,6,81
914,115,1,97
653,67,1,106
226,418,2,120
798,627,57,95
239,909,1,113
236,521,1,120
803,534,1,102
868,599,1,131
170,400,10,102
805,575,115,97
423,523,1,109
944,775,1,143
857,941,1,112
515,918,1,118
526,414,2,118
811,791,1,110
880,815,5,104
857,105,1,104
584,6,2,81
731,822,1,106
914,318,2,102
343,717,1,107
203,210,7,89
667,372,1,129
961,471,1,118
946,736,2,103
993,241,1,90
510,849,3,115
181,24,1,90
118,58,2,118
789,280,1,100
848,668,4,106
446,56,2,90
124,29,1,114
61,206,1,114
851,975,1,116
523,545,1,122
43,77,1,108
106,61,1,110
448,67,1,116
532,745,1,106
802,524,2,136
986,311,1,115
725,518,1,106
686,194,2,114
576,826,2,146
474,423,3,105
845,919,1,142
479,968,1,105
300,891,3,105
525,150,75,79
217,47,1,135
46,611,1,107
475,151,1,103
672,922,2,130
569,203,1,92
18,370,2,106
78,3,3,73
32,154,2,94
521,717,1,132
348,448,4,106
894,173,1,97
222,738,6,98
443,52,1,105
57,742,1,80
943,581,1,133
891,511,1,109
979,288,1,101
122,453,1,115
439,793,1,115
726,7,1,93
347,744,1,107
729,424,1,136
98,760,2,106
930,970,10,96
829,277,1,105
417,722,1,182
449,639,1,122
812,891,1,129
42,220,2,85
633,984,3,122
801,875,1,107
495,131,1,109
515,968,1,108
936,953,1,86
760,661,1,119
311,106,1,108
756,391,1,107
881,854,1,123
503,810,1,164
823,331,1,117
