Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
448,67,1,190
532,745,1,121
802,524,2,158
986,311,1,169
725,518,1,137
686,194,2,155
576,826,2,160
474,423,3,149
845,919,1,196
479,968,1,158
300,891,3,150
525,150,75,98
217,47,1,172
46,611,1,173
475,151,1,124
672,922,2,152
569,203,1,142
18,370,2,139
78,3,3,88
32,154,2,144
521,717,1,182
348,448,4,127
894,173,1,123
222,738,6,155
443,52,1,101
57,742,1,85
943,581,1,185
891,511,1,118
979,288,1,134
122,453,1,161
439,793,1,153
726,7,1,106
347,744,1,173
729,424,1,150
98,760,2,127
930,970,10,115
829,277,1,169
417,722,1,208
449,639,1,174
812,891,1,179
42,220,2,117
633,984,3,177
801,875,1,158
495,131,1,154
515,968,1,153
936,953,1,76
760,661,1,165
311,106,1,112
756,391,1,148
881,854,1,182
503,810,1,230
823,331,1,151
438,592,2,158
404,886,2,171
582,567,3,125
129,623,1,177
787,113,1,135
959,939,1,113
339,805,1,167
421,853,1,148
124,356,4,146
157,883,1,164
17,820,1,84
340,124,4,133
210,572,2,175
977,712,1,176
382,152,2,159
394,819,1,157
95,150,5,145
57,28,1,77
716,537,179,99
650,854,2,187
649,960,1,169
144,339,3,131
116,565,1,167
192,239,1,140
920,348,4,144
473,288,1,197
519,164,1,143
764,81,1,144
736,740,4,80
792,469,1,180
243,538,1,134
287,337,1,164
39,695,1,146
364,754,26,85
231,366,3,145
960,231,3,157
677,103,1,139
570,145,5,123
19,113,1,121
383,291,1,163
460,208,4,175
930,331,1,139
371,693,7,156
411,106,1,153
433,554,1,208
574,27,1,124
91,213,1,148
716,129,1,116
259,79,1,146
235,842,1,171
796,546,2,203
424,825,1,150
1000,993,1,102
969,19,19,77
105,703,1,189
309,917,1,138
262,238,2,89
247,633,1,162
283,9,1,116
90,67,1,174
562,16,2,107
93,5,1,122
580,808,4,150
133,190,19,135
239,719,1,121
31,386,1,183
264,455,1,198
210,264,6,109
799,530,1,156
634,904,2,162
233,942,1,173
172,494,2,167
531,770,1,122
478,813,1,152
778,920,2,139
879,339,3,143
935,324,1,144
343,866,1,173
131,828,1,170
55,721,1,107
898,438,2,116
107,162,1,144
892,668,4,129
777,690,3,137
198,410,2,119
945,782,1,165
703,468,1,131
627,585,3,88
237,105,3,116
398,14,2,144
24,628,4,97
705,310,5,142
951,47,1,151
175,434,7,137
226,581,1,139
506,124,2,118
18,612,18,104
637,909,1,167
632,413,1,131
951,829,1,169
174,247,1,176
962,876,2,184
715,588,1,179
460,951,1,142
44,209,11,134
317,67,1,187
189,21,21,85
728,491,1,139
419,254,1,162
924,645,3,128
835,782,1,113
120,852,12,112
745,756,1,144
113,376,1,142
520,415,5,105
556,693,1,116
661,517,1,195
920,727,1,155
105,731,1,130
