Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
487,523,1,2200
318,753,3,1800
17,431,1,300
59,164,1,700
624,786,6,3700
484,633,1,2500
659,574,1,2700
494,649,1,2700
853,153,1,1100
218,207,1,1400
744,589,31,2900
788,919,1,3700
258,257,1,1600
252,106,2,700
951,729,3,3300
172,129,43,1200
152,228,76,1300
260,480,20,1600
43,389,1,500
267,749,1,1500
995,837,1,4000
831,193,1,1100
961,990,1,4200
455,583,1,2400
491,763,1,2300
870,586,2,2600
924,446,2,2100
362,428,2,1800
628,170,2,1200
838,28,2,500
553,98,7,700
733,895,1,3100
877,305,1,1700
417,98,1,800
859,676,1,3100
635,799,1,2900
589,52,1,600
491,247,1,1300
559,497,1,2400
682,487,1,2300
233,796,1,1200
381,21,3,600
721,475,1,2300
973,797,1,3300
743,3,1,200
557,383,1,1700
805,120,5,1100
44,115,1,600
575,905,5,2500
452,272,4,1600
503,434,1,2100
922,689,1,2900
397,809,1,1800
367,506,1,1700
205,333,1,1100
270,569,1,1600
952,276,4,1600
551,1000,1,2400
255,813,3,1300
475,722,19,2400
173,245,1,900
529,932,1,2300
389,181,1,1000
609,166,1,900
469,11,1,300
535,922,1,2300
641,256,1,1500
241,436,1,4100
27,779,1,500
332,242,2,1300
273,28,7,600
669,678,3,3300
991,451,1,2300
916,106,2,800
807,274,1,1300
773,308,1,1700
262,520,2,1300
378,458,2,2100
913,880,11,4000
51,367,1,500
863,745,1,3300
336,455,7,2000
169,951,1,1000
128,999,1,900
863,466,1,2100
299,752,1,1700
837,789,3,3300
677,70,1,700
310,474,2,1600
283,644,1,1300
584,428,4,2100
963,67,1,600
433,748,1,2000
999,234,9,1400
911,801,1,3500
115,143,1,800
302,522,2,1400
264,839,1,1600
373,309,1,1500
167,211,1,900
370,510,10,2000
378,356,2,1800
664,272,8,1800
983,640,1,3100
878,327,1,1700
894,709,1,3000
490,985,5,2400
189,918,27,1200
654,450,6,3000
258,860,86,1600
385,207,1,1300
433,94,1,600
713,358,1,1600
231,836,11,1400
7,36,1,400
366,776,2,1900
19,310,1,500
185,862,1,1000
451,117,1,1000
627,693,33,2800
510,291,3,1600
563,190,1,1200
590,947,1,2700
787,885,1,3300
437,744,1,2000
289,423,1,1700
190,348,2,1200
221,995,1,1500
32,333,1,700
116,923,1,800
983,355,1,1700
85,341,1,700
131,404,1,800
842,636,2,3100
285,411,3,1500
769,173,1,1000
31,783,1,800
771,463,1,2100
643,224,1,1400
372,938,2,2200
911,816,1,4100
661,267,1,1500
951,383,1,1800
815,727,1,3200
507,895,1,2400
305,375,5,1400
371,401,1,1700
267,426,3,1500
801,160,1,1100
435,305,5,1600
718,692,2,3000
456,431,1,2000
111,746,1,900
806,463,1,2000
105,714,21,900
753,683,1,2900
675,448,1,2300
750,66,6,1000
147,760,1,900
206,577,1,1400
699,556,1,2600
684,789,3,3300
477,296,1,1700
281,960,1,1300
205,776,1,1200
557,283,1,1500
998,248,2,1400
89,691,1,600
200,27,1,500
155,383,1,900
289,992,1,1300
322,600,2,1600
409,258,1,1300
899,977,1,3900
490,71,1,500
203,242,1,1100
711,428,1,2000
110,952,2,900
996,607,1,2500
311,511,1,1900
63,285,3,1200
304,242,2,1300
998,45,1,700
653,354,1,2300
825,4,1,500
44,670,2,700
41,386,1,500
591,346,1,1600
641,693,1,2600
422,187,1,1100
84,660,12,1100
270,57,3,600
728,455,91,2900
479,742,1,2200
785,654,1,3100
429,54,3,1100
640,551,1,2600
276,648,12,1600
589,268,1,1400
554,228,2,1300
291,420,3,1600
967,565,1,2500
300,904,4,1900
192,985,1,1300
908,801,1,3500
901,670,1,3100
730,552,2,2600
223,535,1,1200
940,182,2,1200
350,527,1,2300
931,669,1,3000
826,206,2,1200
511,38,1,400
505,450,5,2400
500,549,1,2600
784,224,112,1600
981,850,1,3900
389,331,1,1600
231,538,1,1400
108,684,36,900
58,693,1,800
657,890,1,3000
155,521,1,1000
230,524,2,1800
389,679,1,1900
93,933,3,700
682,100,2,800
816,990,6,3900
565,43,1,500
62,931,1,700
689,272,1,2000
225,431,1,1300
55,936,1,600
46,257,1,600
164,960,4,1100
213,787,1,1100
249,83,83,700
514,872,2,2200
783,24,3,500
346,351,1,1600
659,923,1,2800
42,909,3,600
446,379,1,1700
61,71,1,500
232,156,4,1100
524,320,4,1900
278,734,2,1400
339,344,1,1700
754,685,1,3200
642,422,2,2000
354,826,118,1900
265,815,5,1400
723,282,3,1500
727,128,1,800
431,966,1,1900
749,912,1,3300
876,955,1,3900
38,897,1,600
328,154,2,1300
114,753,3,900
258,643,1,1300
667,180,1,1400
315,213,3,1300
247,868,1,1300
860,169,1,1100
616,859,1,3000
753,776,1,3200
73,624,1,600
959,130,1,900
898,497,1,2300
378,1,1,300
965,816,1,3800
482,645,1,2200
889,361,1,1800
591,985,197,2700
879,283,1,1500
931,526,1,2500
307,93,1,700
542,207,1,1100
885,242,1,1300
472,292,4,1500
681,232,1,1500
474,595,1,2400
868,14,14,500
54,139,1,600
521,308,1,1700
64,467,1,600
643,543,1,2600
461,931,1,9000
907,789,1,3400
732,953,1,3400
611,477,1,2200
617,431,1,2200
692,131,1,800
865,658,1,3300
381,419,1,1800
227,326,1,1300
518,620,2,2500
324,353,1,2000
236,424,4,1500
878,581,1,2500
133,376,1,900
626,914,2,2600
318,980,2,1800
875,116,1,800
675,460,5,2400
637,48,1,600
992,633,1,2700
694,348,2,1900
109,927,1,800
884,496,4,2500
911,991,1,4000
79,608,1,600
309,200,1,1300
40,267,1,500
879,934,1,3600
617,865,1,2600
6,614,2,500
359,112,1,900
880,120,40,1200
566,335,1,1800
211,142,1,800
588,783,3,3000
748,148,4,1000
153,567,9,1000
584,601,1,2600
357,328,1,1700
306,653,1,1700
291,536,1,1800
438,635,1,2100
516,306,6,1700
622,33,1,500
