Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
562,527,1,200
951,878,1,200
174,960,6,200
109,384,1,300
799,621,1,300
662,264,2,300
712,113,1,400
775,268,1,300
763,245,7,300
839,730,1,300
132,115,1,400
361,837,1,300
895,335,5,300
35,901,1,300
629,722,1,300
712,930,2,200
634,929,1,400
907,41,1,300
26,142,2,300
950,576,2,400
486,125,1,300
257,831,1,300
617,730,1,400
222,735,3,300
25,441,1,200
421,384,1,300
